Question,Answer
"Hi","Hello! How can I assist you today?"
"Hello","Hey there! How are you doing?"
"How are you?","I'm doing great! Thanks for asking."
"What is your name?","I am your student assistant chatbot."
"Who created you?","I was created to help students like you with information."
"What can you do?","I can answer your questions about college, classes, and general info."
"Tell me about the college","Our college offers great academic programs and extracurricular activities."
"What are the college timings?","The college timings are from 9 AM to 4 PM, Monday to Saturday."
"When does the college open?","College opens at 9 AM sharp every day."
"When does the college close?","The college closes at 4 PM."
"What are the office hours?","The office is open from 10 AM to 3 PM on working days."
"What is the lunch break timing?","Lunch break is from 1 PM to 2 PM."
"How can I apply for leave?","You can apply for leave through your class teacher or department office."
"How to contact the principal?","You can visit the principalâ€™s office between 10 AM and 1 PM."
"Who is the principal?","Our principal is Dr.ugrasen suman."
"What is the attendance criteria?","You must maintain at least 75% attendance to be eligible for exams."
"What happens if attendance is low?","You may not be allowed to sit for exams if attendance is below 75%."
"How can I check my attendance?","You can check attendance on the college portal or ask your class teacher."
"When are internal exams?","Internal exams are usually held in the middle of the semester."
"When are final exams?","Final exams are conducted at the end of each semester."
"How to get my ID card?","You can collect your ID card from the admin office after verification."
"How to get a bonafide certificate?","Submit an application to the office; it takes around 2 days to process."
"What are the library timings?","The library is open from 9 AM to 5 PM."
"How to borrow a library book?","You can borrow books by showing your ID card at the library desk."
"Is there a canteen in the college?","Yes, our college has a canteen with fresh food and drinks."
"Where is the computer lab?","The computer lab is located on the second floor of the main building."
"Who is the HOD of Computer Science?","The HOD of Computer Science is Mr. Rajesh Kumar."
"What is the dress code?","Students should wear formal attire from Monday to Thursday and casuals on Friday."
"What is the fee payment process?","Fees can be paid online through the student portal or at the accounts office."
"Can I pay fees in installments?","Yes, fee installments are allowed after approval from the admin office."
"How can I reset my student portal password?","Click on 'Forgot Password' on the login page and follow the steps."
"Is there WiFi in the campus?","Yes, WiFi is available across the campus for registered students."
"Where can I find the timetable?","You can find the timetable on the notice board or student portal."
"Who is my class teacher?","Please mention your department and section to know your class teacher."
"Thank you","You're welcome!"
"Thanks","Happy to help!"
"Bye","Goodbye! Have a great day!"
"See you later","See you soon! Take care."
